,Reviews,Rating
0,Just like home A Warm Welcome to Wintry Amsterdam,1
1,Great food and staff just perfect,1
2,Satisfaction Delicious old school restaurant,1
3,True five star dinner A superb evening of fine dining hospitali,1
4,Best meal EVER super food experience,1
5,A treat Wow just Wow,1
6,40th Birthday with my Family One of the best meals ever,1
7,Great Experience A true delight,1
8,Great Food & Service Superior food and exciting setting around,1
9,Excellent Herring Lovely rustic fish shop in the smack of A,1
10,Simply AMAZING Delicious Burgers,1
11,A hidden gem Fantastic,1
12,Love it As pure as Paradise: Adam,1
13,Awesome little pub An amazing little place with a vast choice,1
14,Best meal of our trip It was like falling in love,1
15,So Much Food Hidden Gem,1
16,Brunch Worth the wait,1
17,Wonderful Christmas dinner Fantastic restaurant with impeccable servi,1
18,Very good tibetan and indian food Wonderful meal,1
19,Fabulous Italian Food One of the best meals of my life,1
20,Always A Special Experience Excellent,1
21,Amazing Place Four course feast,1
22,nice Review of vlaming,1
23,Its a definitive must visit for beer enth Great Beer in a cozy little spot,1
24,Excellent quality baked potato AMZING ,1
25,Great Breakfast Amazing food ,1
26,One of the best restaurants in Europe Amazing food marred by chaotic service,1
27,BEST BREAKFAST Amazing breakfast 😍,1
28,Last night in Amsterdam Definitely will return,1
29,except;;ent These people know what they are doing,1
30,Our Must-Do Great Indonesian Fusion,1
31,Excellent Great little find,1
32,Best burger in the world so far How burgers should be,1
33,Mouthwatering dry aged heavenlyness Great food,1
34,Great authentic Italian food The food tasted great but they were not v,1
35,5* Best Desserts ever,1
36,The King of potatoes 10/10,1
37,Very filling Id definitely come back Delicious food great value,1
38,Great Old Fashioned The best cocktails,1
39,Busy place with tasty Thai food and new fo Nice Thai restaurant in Amsterdam,1
40,What an unexpectedly great end of a long d Excellent tasting menu,1
41,Perfect Excellent service,1
42,Tasty fish and generous portions Excellent,1
43,Suprised good food and service Incredible Seafood and fantastic atmospher,1
44,Great Traditional haring dish,1
45,Perfect Lunch Spot in Amsterdam Unexpected treat next to red light distric,1
46,Delicious Best sandwich ever,1
47,Ace Toasties Delicious,1
48,Very good Lovely,1
49,Tasty and healthy Amazing christina,1
50,Great Our Favourite,1
51,Like them very much Two trips to Amsterdam and four dinners at,1
52,Amazing Good food and service,1
53,If only all could work this way A new experience,1
54,Amazing spot Cozy warm and delicious food,1
55,Best meal in Amsterdam A great find,1
56,Unique Inspired Exceeded All Expectation Best restaurant in Amsterdam,1
57,Yum Fresh seafood,1
58,Superb Super food super nice staff,1
59,Perfect Very good food and service,1
60,Great place for breakfast Great food attentive service big queues,1
61,Delicious New year dinner,1
62,Unique concept delicious fish and wine in Fresh seafood,1
63,Fantastic atmosphere food beer and service The food is wonderful but Annelaine is the,1
64,Authentic food but geared to tourists Authentic and friendly,1
65,So fantastic Great lunch at C,1
66,Favourite local restaurant So worth it,1
67,Hole in wall with great food Very good traditional dutch food,1
68,Delicous FoodGreat Team Oysters and champagne,1
69,Small but Perfectly Formed Good Pizza,1
70,Excellent Indonesian Delicious flavours friendly staff,1
71,Good food and Fast Service Great little place for family lunch,1
72,Perfect burger bar Best burgers ,1
73,Delicious and great menu Service + food shine here,1
74,Exquisite quality all round Great food and not a tourist trap,1
75,Breakfast all day Breakfast & Coffee,1
76,Amazing Best Indian food ever,1
77,Special “Specials” First time and very memerable,1
78,Vleminckx sausmeesters fries Good but not amazzzzzing,1
79,It was meant to be Nice Spot,1
80,Great Italian Amazing,1
81,The best surf n turf Impeccable food and service,1
82,Romantic great food Superb in every way - delightful meal on t,1
83,Atmospheric Steak Very good recommended,1
84,Above average Amsterdam Excellent Choice,1
85,Great burger Juicy Burgers,1
86,Pizza Friendly and quirky,1
87,Amazing food Wonderful,1
88,Two votes indeed one Warm service from Anne in a cold weather,1
89,Great food Wonderful visit v busy,1
90,favorite in amsterdam Outstanding atmosphere and great food and,1
91,Ribs that will give you an orgazem Great restaurant,1
92,moderately priced dutch food Good dinner,1
93,Amazing place great food & vibe - you MUS So Many Incredible Choices,1
94,Finer dining Quick light bite,1
95,nice room Great Christmas dinner,1
96,Loved it Incredible,1
97,A pleasant surprise Excellent Food intimate atmosphere,1
98,New Years Eve at Pasta e Basta - Amazing Go for the experience,1
99,Pretty good Excellent meal friendly service and delic,1
100,A must Warm and friendly bar,1
101,Excellent experience A MUST if You`re vis Great Dutch Food,1
102,Very good with reservations Rounded of an excellent Rijksmuseum experi,1
103,Rijstaffel on a rice plate couple dinner,1
104,Great for dinner Amazing Breakfast,1
105,Pancake Best brunch in Amsterdam,1
106,GREAT Really good burgers,1
107,Picked a winner Excellent A little taste of Italy in the,1
108,Great cafe with excellent food and coffee Best Breakfast in Amsterdam,1
109,Great for a special occasion or a casual d Great ambience and food,1
110,It was a great experience Not perfect but not bad,1
111,PORCHETTA meets PIZZA Very nice experience and good food too,1
112,Perfect match with Brouwerij ‘T Ij Great place for beer,1
113,Gorgeous food What am absolutely amazing place,1
114,Cute and delicious Great coffee,1
115,Perfection Delicious,1
116,Real Italian food Super lunch in Amsterdam,1
117,Fabulous dinner Excellent food but too crowded and loud,1
118,Really good quality food  Very good Argentinian steak house,1
119,Fabulous find :) Perfect NYE Meal,1
120,Excellent little Italian Good pasta savini,1
121,Absolutely 5* food and service Nice informal place,1
122,Unmissable Good beer good food,1
123,excellent italian slow food Nice experience  but we were not wowed,1
124,The perfect place for a quick bite best iv had  better than UK,1
125,Amazing menu Incredible atmosphere Excellent japanese dinner,1
126,Ribs steak beer wine and atmosphere Consistently good for many years,1
127,Dinner with Family and Friends Casual fine dining,1
128,great Spanish evening Excellent Pinxos,1
129,The place to be Good Surprise,1
130,Excellent Fish and Chips Excellent fish and chips,1
131,Third visit Very Tasty,1
132,Good Thai food Really nice food,1
133,Last meal of the trip Hidden away spot,1
134,Nice place in Oost Understated excellence,1
135,This must be one of the most underated res Excellent,1
136,Kitschy historic delicious Dutch fare Awesome Traditional Dutch Food and Atmosph,1
137,Quirky set up great food & atmosphere Enjoy the view of Het Y,1
138,One of the best restaurants in Amsterdam A cosy excellent restaurant,1
139,Awesome food and great service If you want real homemade pasta go here,1
140,Relatively good value for money Very vegan friendly,1
141,Yummy cheese fondue Great place ,1
142,Excellent Best steak,1
143,Very good food just a little boring We only had breakfast but it was very good,1
144,Omg this was awesome Great food and service,1
145,Hannah: NSW Australia Nice and taste place to eat,1
146,Everything I want in a restaurant Outstanding cuisine,1
147,Not a bad find Worth a visit,1
148,Fantastic dutch style cuisine Great dutch cuisine,1
149,Good for coffee and food Delish - perfect break spot,1
150,Lovley place Lovely restaurant,1
151,Excellent restaurant with great ambience Great Value for Exceptional Food and Servi,1
152,Nice nice resturant nice staff,1
153,Great Place Excellent food but some mess-ups from the,1
154,Lovely family style seafood restaurant Looking for Great Seafood?,1
155,Perfect foods Everything is hillarious,1
156,Nice little find but book Fantastic,1
157,Absolutely stunning place Unique experience in all possible ways,1
158,Unigue Fantastic food,1
159,Great Thai Food Delicious,1
160,Good food in a relaxed setting Great Find - cool bar,1
161,So pleased we did Pleasent spot off the beaten path,1
162,Visited again after 4 years and will come The best of a beer cafe in A’dam,1
163,Great service great food Amazing Hummus,1
164,Brilliant fish but make sure you can affo WELL WORTH A VISIT,1
165,Best Thai in Amsterdam Great food and great service,1
166,Super Cheap and Always Busy best cheap food in holland,1
167,Great beer charming atmosphere Craft beer bar,1
168,Amazing flavour Fantastic,1
169,Great restaurant One of the best in Amsterdam,1
170,The food was good and the experience is sp Different Experience,1
171,Best meal in Amsterdam Great food great location,1
172,Outstanding restaurant Great spot,1
173,Indonesian Rijsttafel will lots to offer Oh my go(o)d We love it,1
174,Great tasting Great Snack,1
175,So good we went back 3 times Polite staff good price and flavours,1
176,Good pizza Great pizza and company,1
177,Phenomenal Good place to try,1
178,A great find Really good find with good Gluten Free opt,1
179,For beer lovers Hidden gem,1
180,Too good Excellent Lebanese eatery in Amsterdam,1
181,Great for breakast Cute little cafe,1
182,One of the best choices in Amsterdam for m good place but not excelent,1
183,Memorable dining experience Great food and wine,1
184,Walking back to hotel from museums dinner,1
185,Top location Lovely location good food indifferent se,1
186,Good staff and food Great Steak House in Amsterdam,1
187,Very nice brewpub My type of Brew Pub,1
188,Good sushi Stay away from robata excellent if expensive food and service,1
189,Beautiful restaurant simple and very tast Great meal great service,1
190,Pasta factory Excellent food,1
191,A fine authentical indonsian cuisine A very tasty meal,1
192,Quick Dinner Good Ramen dark location,1
193,solid 4 Try the Tasting Menu if youre new to Indo,1
194,Incredible staff and crepes  Excellent crêpes bretonnes :-),1
195,Delicious Great food service and location,1
196,Cheap eats and beer Very nice and good restaurant near Rokin t,1
197,Good value pub food and friendly atmospher Drinks,1
198,Excellent Excellent experience of Spanish delicacies,1
199,Fantastic Restaurant in Nieumarkt Best Arabic/Syrian Food in Amsterdam,1
200,No Pompa and Ceremony - just good food Nice intimate restaurant off shopping dis,1
201,nice place great view Bright and Friendly,1
202,Great Chips and Sauces Chips don’t get it,1
203,Deserves a much higher ranking than it has Great steaks,1
204,Great little find Very tasty chicken burger,1
205,Nice pizza on first day of New Year Erg lekker Geen touristenmaal,1
206,Yummy Nice service tasty food great pri So Good and Great Prices,1
207,Friendly service and great atmoshphere Burger & beer,1
208,Cozy Ambience & Delicious Food Genuine restraurant,1
209,Nice but noisy diner Very unique-looking converted church with,1
210,Great views--lively crowd Go before the crowds,1
211,Wonderful lunch Excellent dining option in Amsterdam,1
212,try the hot choclate Good selection of food in an elegant fast,1
213,Easygoing news years drinks Amazing brunch with great service and cosy,1
214,Traditional sandwiches in a trendy atmosph Great small oasis in middle of chaos,1
215,Birthday meal Great food for a nice price,1
216,Nice bar to relax in Great game,1
217,Unbelievable Falafel Amazing,1
218,Spontaneous night to Mr Porter Impressive,1
219,Pleasant surprise Great tapas,1
220,Unique one-of-a-kind freaked out freaksha Delicious find,1
221,Surprise surprise Excellent Italian-Touristy Pricing,1
222,Good value for money Authentic Italian,1
223,Good low key Asian restaurant Good asian,1
224,Excellent Lovely Indonesian food,1
225,Amazing Delish,1
226,Nice 3 course meal Excellent Saturday eve 6:00 meal with frie,1
227,Historic jewel of a bar in Amsterdam Great Place for Drinks and Lunch,1
228,My place in Amsterdam Amazing,1
229,An authentic Indonesian meal in Amsterdam Wonderful lunch in a very touristy place,1
230,best place I have been so far Top class,1
231,Sunny gem amidst the snow <3 GIRASSOL <3,1
232,Old and comfortable Fish and chips,1
233,Great chicken sandwich Fresh Cheap and Halal (Win),1
234,New Years Eve Meal & Drinks I want to come back everyday,1
235,A gush of fresh air in Amsterdams mid pri A diamond losing its sharp edges,1
236,Good Taste in the heart of Amsterdam The best Indian meal I have ever had,1
237,Lovely Good food and good price,1
238,Great evening with colleagues Very interesting plates at decent prices f,1
239,The best Stroopwafels ever :)  Tasty,1
240,Fabulous atmosphere wonderful food Good meal good service good atmosphere,1
241,Best pizza in Amsterdam Amazing pizza and pannacotta,1
242,Best Ribs and Wings EVER Awesome bachelors party,1
243,Not bad but didnt feel any athmosphere in Lovely place and quality food,1
244,Recommended Its not just the food,1
245,Fully loaded Sunday breakfast Delicious American pancakes,1
246,Great place for a beer Friendly cafe /bar,1
247,Nice burgers but Really good burger,1
248,A little bit of Naples in Amsterdam Warm and friendly,1
249,A good touristy steak restaurant Good,1
250,The place for rice table Great food and even better lamps,1
251,Very good spot either to eat or have a dri Feel like a local,1
252,Excellent food Great service Mixed results,1
253,Amazing Bakery Delicious,1
254,Christmas eve dinner Excellent meal,1
255,Great Coffee and Quiche Gorgeous food,1
256,Great Food Pollo Diavolo rather bland,1
257,Highly recommend Absolutely amazing food decent ambience,1
258,Perfect- best place we’ve been in Amsterda Great Tapas,1
259,Lovely meal Great dining in this buzzing place,1
260,Really Dutch A great find,1
261,Ecellent kebab Best Turkish in Amsterdam,1
262,Stumbled across a Gem Solid,1
263,Interesting The perfect place in summer,1
264,Interesting Excellent food,1
