,reviews.text,sentiment
20869,"This tablet is great for kids. I love all the different kids content available. The only negative thing I have noticed so far is that at time it will freeze up and I end up having to reboot to fix it. So far, that's the only issue.",positive
11498,"These batteries work as long, if not longer, than the big name batteries. I love them! I swear by them in my remotes for my TV, sound system, Blu-Ray player, TiVo, and Roku!",positive
4530,Really good .sending to me just 1day .and really much stuff for this price.,positive
27900,I love it.....................!!!!!!!!!!!!!!!!!!!!!!,positive
6507,Batteries work great. As expected. No issues with delivery or life span on batteries.,positive
18232,I love my Amazon Fire tablet it does exactly what I needed to do.,positive
6897,Product as described,positive
15269,This was a Christmas present. The person that received it was very happy with it.. She has other Kindles but this new one is an obvious improvement over the previous ones.,positive
19718,It does everything well. Easy to use and a great size. This is my first tablet and I made a very good choice.,positive
14348,Good product for a young child to play with without breaking,positive
19710,My husband loves the tablet it works great and I bought it for him,positive
27853,I got this mainly to watch tv/movies. Battery life is best of all devices I have used to date.,positive
27898,I enjoy using the tablet. I use it when I am biking.,positive
7517,Works as well if not better than other batteries. Will order again.,positive
22968,Purchased as a birthday gift for grandson and he LOVES it.,positive
610,"I prefer purchasing my batteries in bulk, so that I can buy them once and forget about them for the upcoming months (or year). AmazonBasics was, at the time of purchase, the most economical pack of AAA batteries.I haven't noticed any difference in time or quality of use. I don't use AAA batteries for many things, though, and for those that I do the items tend to last for quite some time on a pair of batteries, so I would not notice a change unless the batteries were really, really poor quality. Thankfully, they're not, and their price point made them a steal for me. These also store well - I have had no issues using some of these that my parents purchased years ago and they appear comparable to the pack I purchased recently.I've lately been really impressed with the quality of electronics that AmazonBasics offers. As store-brands go, this is among the first that has yet to disappoint me!",positive
17896,amazon fire 7 inch tablet is a great product and works great and no issues,positive
13607,Love the Amazing fire tablet and the preloaded apps and games. Plenty of memory for additional downloads too!,positive
28222,It's very good product and I recommended this to buy it.,positive
16746,The Kindle Fire is small but does everything it should for a young child. Worth the low cost I paid for it.,positive
76,Never purchased these before ... Work well so far,positive
25485,Great for reading. Best part is its light weight and long battery life.,positive
10969,"Long lasting battery, great price! What more could I ask for",positive
6191,First time trying the Amazon batteries and glad I did. These batteries have out lasted the Duracell batteries we used before and are cheaper! Will definitely purchase again.,positive
23316,Just what she needed to keep her interested in short games & letters,positive
16135,Great tablet. Easy to use. Will recommend it to others.,positive
2352,Great item with great price,positive
3910,Better than expected for Amazon brand batteries,positive
152,"I purchased these to compare against the Duracell's I normally buy. These appear to be an excellent value, but only time will tell. Currently I am using them along with the Duracell's in some fake candle lights that my wife has to see if they last as long as the Duracell's. So far so good.",positive
10126,Works great! Will buy again when needed.,positive
16059,Was a present for my 14 year old grandson. He was very pleased.,positive
8052,Good batteries. Great price!,positive
20202,"Bought for my daughter. Has everything she needs, great value",positive
28053,and it out performs some of the bigger name brand tablets out there. if you looking for a good video and somewhat customizable tablet at a great price do not pass this up.,positive
16502,I bought my daughter the kindle fire so i purchased the kindle 8 for me,positive
3563,"Very good deal, long life batteries at a great price.",positive
8685,Love these batteries! Cheap and every bit as good as the big brands!,positive
23093,I bought this for my 3 year old son for Christmas. It keeps him busy while my wife and I take him out to dinner at a restaurant. It's relatively easy to use and he likes some of the kids videos we downloaded for free.,positive
16726,"Had the Fire HD 7"" before and just wanted to upgrade. Loving it so far and really enjoying the bigger screen!",positive
10581,"Good Value for the amount of batteries you receive.Great for TV Controllers, basic items. Gaming Controllers eat through these rather quickly.",positive
20045,They are awesome gagets to do when your bored at home.,positive
18811,Works great and nice links to Amazon if you have a prime account.,positive
3674,Work great,positive
22257,"This was a gift , was able to talk to an associate and was offered the Amazon tablet at a great price. I'm so thankful for Best Buy and it's knowledgeable sales associates.",positive
12388,My teenager loves this and uses it daily. We've also took it places with us and the sound is great.,positive
11675,They make things go! There are many of them! They are not dead on arrival like some competitors.,positive
3940,good,positive
7089,So far so good. Will update if anything changes.,positive
12739,Love it I bought it for my mother and father she is easy for them to use and they are in there 70s,positive
9005,best deal,positive
12379,Fun gadget for adults and kids. Great range for asking questions..,positive
16000,This tablet is just the right size for my son's hands. Easy for him to use,positive
8737,great price and now I have them on hand whenever I may need a battery!,positive
1043,We are pleased with these AAA batteries. They are economical and have worked well for us in the items we tried them with. Easy to store in the cardboard box they arrived in.,positive
3269,Still going strong,positive
3602,Way cheaper than the name brands and almost the same performance,positive
8305,So nice to have a big pack of batteries for whenever I need them. These were a great deal and way cheaper than buying them at a local store. Work and function as expected and described.,positive
5158,"Great batteries. I'm not a big fan of disposable batteries, but unfortunetly big companies keep on making products that require the use of disposable batteries.",positive
13811,Works as we thought it should. NO PROBLEMS. Good buying experience.,positive
2179,Great batteries for the cost,positive
21833,"Bought it for my mom, it was real easy to transfer her downloads from her phone to the tablet..",positive
3849,Works well.,positive
2984,My best endorsement is: I'm a repeat buyer!,positive
22082,Purchased this for my son. Has room to upgrade memory to allow more books & games. But the speakers could be better or located in a better position.,positive
20443,"I've owned a couple iPads, three Samsung Galaxy Tabs, and I can without question say that this Fire 8HD is my favorite out of all. The 16Gig version is all you need. Why? Becuase the micro-sd card expands to 256 gig and the programs can be installed to the external drive...saving the valuable internal for the operating system. Samsung should do the same...if they did, I'd probably wouldn't have bought the Fire, but I'm so glad I did!! Love, love, love it!!",positive
20334,"I love it! I got it for my 8 year old daughter for Christmas and now my husband wants one so I'll be purchasing another one. It's just the right size, we love it.",positive
20891,.. TAKES GREAT QUALITY PICTURES. WILL BUY AGAIN. LOVE IT.,positive
12071,Great cheap batteries for around the house. They dont last forever but they are great for remotes and computer mouses and such. and you cant beat the price!,positive
12444,"Overall, I am very impressed with the Amazon Tap. The sound quality isn't the best out there, but the portability makes up for this. The volume is decent as well. There were a few issues with connectivity over the holidays, but for the past month it has been flawless. Very satisfied with purchase.",positive
13180,This is an incredible product. I would much rather read on this than my iPad!,positive
5645,"I find this to be the best battery value around. They work as well as the well-known expensive brand, but with the convenience of them being delivered to my house with no shipping cost with Amazon prime.",positive
14860,Easy to use and the HD is awesome. The simplicity as well as the easy to follow directions to set it up is great. It does everything I want it to do.,positive
22159,Great product! I will recommend this to all of my family and friends.,positive
20752,I absolutely love this tablet. I got it for my 3 year old for Christmas so she wouldn't steal mine all the time. Great for kids i downloaded Netflix and I could download lots of movies and shows so she could watch in the car without having Wifi. Would recommend it to anyone with kids,positive
15845,Bought it for my 4 year old and he loves it! The child case is awesome too in case of any drops.,positive
14712,I love ordering books and reading them with the reader.,positive
15109,"I bought this for my daughter and she loves it! Works great for YouTube, Netflix and adding a few games. Easy to learn how to use and no ""accidental"" purchases can be made if you use the option to switch user accounts.",positive
5838,"Whenever I need a product that I can be confident in without doing tons of research, I look for Amazon basics. These batteries rival Duracell 'professional' and Energizer 'Industrial' alkaline batteries in quality and endurance. I use them in my photography business and they never fail.",positive
15935,My kids are 18 months and 4 and they love this tablet. It's easy for them to use and very lightweight,positive
12912,Very nice display and high resolution! A pleasure to read.,positive
1434,Batteries. Work well,positive
15700,I bought this for my wife she loves how easy it is to use and small enough to take on trips.,positive
11126,Great quality and super cheap! What else you can ask for,positive
3397,These were a must with kids Christmas presents! Will be ordering again.,positive
23359,"My kids love this product, as do I. Parental restrictions can be set and they know when they have to shut them off. Good battery life too.",positive
27788,I love this Kindle Fire....I bought it as a reader but really about the only thing I can't do on it is make phone calls. Great price for a great product.,positive
21376,"This was a gift , was able to talk to an associate and was offered the Amazon tablet at a great price. I'm so thankful for Best Buy and it's knowledgeable sales associates.",positive
24820,My grand daughter loves it and so do her parents! Very durable. I'd highly recommend this product,positive
2769,I have never been disappointed by any of the Amazon products.,positive
10290,So FAR very Good..,positive
21390,I bought this tablet for myself because I bought the 8 gb one for my 6 year old and was so impressed with it that I bought myself the 16 gb one,positive
1429,Batteries!,positive
20841,Bought this for my son and he loves it. And I love that he can throw it around and not break!,positive
24757,granddaughter loves it! Now my Ipad if free for ME to use,positive
3,Seem to work as well as name brand batteries at a much better price,positive
